node1,node2,distance
神屋工業団地口,神屋,1129.0990282367413
神屋工業団地口,かみや団地口,707.0964229000974
出川,神領駅北口,1329.9404930207622
出川,大留町1丁目,1361.573944248401
出川,下市場,1423.3281894167192
出川,大留町4丁目,1288.7766999014616
出川,東出川,878.7178319588687
出川,不二ヶ丘,455.3172427390073
出川,中部大学東,774.946422674003
出川,中部大学前,633.6705049417646
神領駅北口,大留町1丁目,826.15515496088
神領駅北口,下市場,957.7371060953473
神領駅北口,篠木八丁目,1251.0227818726187
神領駅北口,堀ノ内町東,736.5490895506204
神領駅北口,神領駅,340.0366146726563
大留町1丁目,大留町4丁目,407.5756529319054
大留町1丁目,神領町東,514.8045249870179
大留町1丁目,神領駅,690.6775719216336
下市場,篠木八丁目,562.9851059732863
下市場,不二ヶ丘,1542.7690531370972
下市場,東山住宅前,1293.3672319404777
高蔵寺ふれあいセンター北,高蔵寺,246.87718896080628
高蔵寺ふれあいセンター北,高蔵寺町2丁目,255.2625906761319
気噴町西,不二小学校前,878.9909443052583
気噴町西,北気噴,738.6400491797837
気噴町西,気噴町,430.9093856871783
不二小学校前,北気噴,738.9269327644361
不二小学校前,東出川,414.37071548886166
不二小学校前,白山南,630.9902083021741
不二小学校前,円福寺前,1103.2180675566367
不二小学校前,中部大学東,1022.8774048483585
岩成台西,岩成台北,631.822152778443
岩成台西,藤山台南,822.8684136717477
岩成台西,白山,814.5078292790768
北気噴,繁田,554.4246865839401
北気噴,気噴町,546.7325888394878
北気噴,白山南,490.1188747516849
神領町東,堀ノ内町東,478.46688408402684
神領町東,大留町4丁目,920.20057633223
神領町東,神領駅,295.1867078766838
堀ノ内町東,篠木八丁目,1624.2266538084548
堀ノ内町東,神領駅,446.06399179461386
東野町西3丁目,下原口,566.4909082677107
東野町西3丁目,東野町,690.2049269455117
東野町西3丁目,東野,752.1963706021562
東野町西3丁目,松原中学校,476.9068538409956
東野町西3丁目,西山住宅前,694.5032660187342
下原口,東野町,459.5455815707025
下原口,東野小学校南,76.04364678087816
東野町,東野小学校南,428.2829303412791
東野町,東野,100.14287218655019
春日井市民病院,市民病院西,443.686158831325
春日井市民病院,南下原町,865.2174237384482
春日井市民病院,松原中学校,607.3549115098982
春日井市民病院,西山町,777.3570093585809
春日井市民病院,西山口,589.1599555704828
市民病院西,南下原町西,747.8266040856
市民病院西,南下原町,771.2529809722555
市民病院西,パナソニックエコシステムズ,849.5776698764656
市民病院西,岩野,836.8161606817794
市民病院西,総合体育館前,724.9357589006673
松原中学校,南下原町,786.2083916622547
松原中学校,松原小学校前,1183.3852248836718
松原中学校,西山町,726.7296451204662
松原中学校,東野,1051.4818607532898
松原中学校,西山住宅前,789.0161870058089
南下原町,松原小学校前,1022.1090992066884
南下原町,六軒屋3丁目,944.3633324657396
南下原町,六軒屋,664.8844540368503
南下原町,南下原町西,933.7678092871729
南下原町,八田,938.7180112372932
松原小学校前,六軒屋3丁目,403.0969523391667
松原小学校前,中原,363.9431634874797
松原小学校前,東野,462.7966146591171
松原小学校前,南島,246.58250493078384
六軒屋3丁目,六軒屋,551.0821408354855
六軒屋3丁目,中原,599.9008095340951
六軒屋3丁目,六軒屋4丁目,403.31990244516066
六軒屋3丁目,浅山町,640.5603981208052
六軒屋3丁目,東野口,733.1604590699229
六軒屋,六軒屋4丁目,408.1064580561836
六軒屋,上八田,815.4051948272439
六軒屋,六軒屋公民館,343.7304559653927
六軒屋,八田,764.8244288594886
南下原町西,総合体育館前,420.27090570794553
南下原町西,岩野町1丁目,603.0018639677511
南下原町西,八田,686.3273438782318
南下原町西,大手小学校南,613.4495378748137
東山,下原本町,523.7704381936853
上条町中,上条町2丁目,782.5813022308104
上条町中,下津保育園北,1020.7403342040225
上条町2丁目,下津保育園北,1451.7801285455428
上条町2丁目,月見橋南,789.5270741376684
上条町2丁目,弥生町2丁目,595.5592140549849
上条町2丁目,八事町,579.445792842207
上条町2丁目,春日井駅,526.2340745297766
中原,南島,317.08102596680925
中原,東野新町,431.27831926283767
中原,東野口,351.94601711945586
篠木八丁目,東山住宅前,947.4061881431618
関田町,篠木,810.1413848811081
関田町,総合福祉センター前,790.7970480450775
関田町,乙輪町,637.8691600589485
八光町3丁目,勝川新町,765.1397238329603
八光町3丁目,神明町,736.8643499459242
八光町3丁目,稲口,661.4058213620496
八光町3丁目,中央公民館前,546.3192261405081
八光町3丁目,若草通一丁目,579.0533370031792
八光町3丁目,柏井町四丁目サティ前,913.6235208510035
八光町3丁目,八幡社前,825.9049922072359
勝川新町,神明町,492.6178277814855
勝川新町,稲口,1171.855363821441
勝川新町,稲口町,1031.74470690976
勝川新町,美濃町3丁目,520.74178131725
神明町,若草通一丁目,377.66272187337563
神明町,柏井町一丁目,679.0966415507183
神明町,勝川駅前,720.0702502695922
稲口,中央公民館前,500.5001961365182
稲口,如意申,453.71029266581553
稲口,稲口町,1220.78547335697
稲口,柏原町2丁目,647.8857660104746
西部ふれあいセンター,高山口,983.5877067739668
西部ふれあいセンター,西高山町,464.9797246447937
西部ふれあいセンター,西部中学校,346.66451289147847
前高グラウンド,前並調理場東,729.8714415862661
前高グラウンド,前並公民館,471.59530087465214
前高グラウンド,東大手,799.3211047522652
前高グラウンド,前並町1丁目,547.5594795507047
前高グラウンド,西高山町,371.44555570483357
前高グラウンド,辻山西公園,402.4423195861726
前高グラウンド,高山,541.6617034360768
前並調理場東,前並公民館,364.50545879301256
前並調理場東,東大手,723.6533163065506
前並調理場東,上大手,1086.1778025349286
前並調理場東,新開町,492.6209883530518
前並公民館,新開町,798.7592160804714
前並公民館,牛山第三公民館,1168.6241128472327
前並公民館,前並町1丁目,441.03722287211514
東大手,上大手,787.5726689957496
東大手,岩野町1丁目,687.8224438572513
東大手,辻山西公園,608.4609570838253
東大手,大手小学校南,662.8861664530332
東大手,辻山橋東,409.8096547596423
牛山ちびっこ広場西,牛山運動広場南,512.8865285381396
牛山ちびっこ広場西,三本竹児童遊園,336.74449618852935
牛山ちびっこ広場西,さつき台児童遊園,683.7928458440649
牛山運動広場南,新開町,327.5747136543912
牛山運動広場南,上大手,990.9769499749223
牛山運動広場南,さつき台児童遊園,802.2607454716698
牛山運動広場南,西町屋,1081.5609033268333
上大手,新開町,1080.9593985023582
上大手,西町屋,334.4391533546912
上大手,南町屋,460.89145798378075
上大手,岩野,680.3249539175886
上大手,岩野町1丁目,697.2507755104376
牛山第三公民館,新開町,957.4643188244145
牛山第三公民館,前並町1丁目,1219.8824265823882
鳥居松公園,鳥居松2丁目,321.03046814670614
鳥居松公園,月見橋南,499.1885818233362
鳥居松公園,春日井市役所前,392.00835980629984
鳥居松2丁目,月見橋南,660.2004658803626
鳥居松2丁目,瑞穂通1丁目,575.8220864368427
鳥居松2丁目,春日井高校前,467.75069867282235
月見橋南,下津保育園北,1634.5508825948666
月見橋南,春日井高校前,979.058772640854
月見橋南,春日井市役所前,691.2336775283776
月見橋南,弥生町2丁目,218.83735538379335
中央公民館前,柏原町2丁目,298.6811094845749
中央公民館前,柏井町四丁目サティ前,894.6333645222068
瑞穂通1丁目,春日井高校前,575.3582929268821
瑞穂通1丁目,柏原町2丁目,549.8031517294919
瑞穂通1丁目,柏井町四丁目サティ前,965.840541867624
鳥居松,鳥居松八丁目,650.1709553394348
鳥居松,春日井市役所前,165.67192818736964
鳥居松,八事町,696.819567705518
鳥居松,乙輪町,833.758165975234
鳥居松八丁目,六軒屋口,504.81512566331446
鳥居松八丁目,ことぶき町,167.85567414920297
鳥居松八丁目,乙輪町,568.3724959688991
西山町,桃山町東,812.4804314861667
西山町,西山住宅前,416.9536556483512
西山町,西山口,388.29397221860296
桃山町東,西山口,707.2446470577254
パナソニックエコシステムズ,岩野,467.16088666831575
パナソニックエコシステムズ,田楽,750.4531763278521
パナソニックエコシステムズ,町屋,519.002604068474
パナソニックエコシステムズ,南町屋,380.9315249820147
岩野,総合体育館前,272.3896359360816
岩野,南町屋,398.0319262580843
岩野,岩野町1丁目,416.94474501482955
田楽,町屋,531.7704512784647
田楽,西町屋,740.577952590066
町屋,西町屋,248.50438642334038
町屋,南町屋,320.26512354793823
六軒屋口,ことぶき町,539.4868829497583
六軒屋口,総合福祉センター前,645.5621434910444
六軒屋口,八田町二丁目,828.0016358424674
六軒屋口,浅山町,486.2278118008604
六軒屋口,六軒屋4丁目,622.0165467815289
六軒屋口,六軒屋公民館,668.2599603615993
総合体育館前,岩野町1丁目,369.42560964953793
飼野,自衛隊前,793.8645425908987
飼野,玉野,737.9021667513098
岩成台,押沢台5丁目,1716.3020941064333
岩成台,岩成台北,584.3908496445036
岩成台,藤山台東,289.33973803205396
岩成台,中央台,456.3773973129182
押沢台口,木附,431.32623907682336
押沢台口,押沢台5丁目,588.4440055411822
木附,玉野台北,377.77284289042643
東出川,中部大学東,701.567931640353
不二ヶ丘,中部大学前,320.70541689383646
繁田,高蔵寺町2丁目,395.17386423544406
白山南,円福寺前,738.382706848433
白山南,白山,570.3034777170911
円福寺前,中部大学東,1443.1698164608265
円福寺前,藤山台南,880.3619391301985
円福寺前,庄名,531.8673008316463
円福寺前,白山,562.3170458219369
円福寺前,神明,1210.5655532154065
坂下,泉橋,858.4725454095561
坂下,廻間,1359.8561871666925
坂下,坂下六丁目,673.5659268225636
坂下,坂下二丁目,346.9063938644612
坂下,坂下五丁目,814.7436460085152
坂下,坂下公民館,484.1627091328988
泉橋,廻間,1718.7150570096344
泉橋,藤山台南,1378.2544712733866
泉橋,庄名,694.9055110515538
泉橋,坂下二丁目,568.9886981062634
泉橋,神明,807.0011074521148
泉橋,上野,285.6225331782645
泉橋,上野北,324.2418932336149
廻間,藤山台南,1336.2537369199301
廻間,藤山台,1002.6235264948891
廻間,坂下五丁目,839.6638398540297
廻間,高森台西,275.16411361904403
廻間,高森台四丁目,985.9425453639666
廻間,愛知学園前,1497.1152255817055
坂下六丁目,坂下二丁目,461.93975897872167
坂下六丁目,中部大学北,307.6223708758202
東野,南島,269.5074585182632
東野,東野新町,765.6594470130634
下津保育園北,春日井高校前,1969.6116843552848
下津保育園北,春日井高等養護学校,883.2420008739931
東山住宅前,東野新町,527.272876852722
ことぶき町,総合福祉センター前,414.2122635274644
ことぶき町,乙輪町,503.03090405349184
総合福祉センター前,篠木,479.40076513186636
総合福祉センター前,浅山町,575.2082371079714
総合福祉センター前,乙輪町,716.866586905415
篠木,東部中学校前,381.6923461989558
篠木,浅山町,745.1988684098225
篠木,東野口,714.7145814195278
東部中学校前,篠木六丁目,168.31862230942588
東部中学校前,東野新町,821.7255658949676
東部中学校前,東野口,749.883972306703
篠木六丁目,東野新町,812.4083110420886
如意申,柏原町2丁目,858.046331912212
稲口町,美濃町,465.43678703810485
稲口町,美濃町3丁目,627.5690947059336
美濃町,美濃町3丁目,234.08630739012503
新開町,さつき台児童遊園,779.9762851536522
さつき台児童遊園,天神社南,635.6380694925939
西町屋,南町屋,374.80281444414584
春日井高校前,柏井町四丁目サティ前,638.6194430708939
春日井高校前,下中公園,1803.5336676372308
春日井高校前,春日井高等養護学校,1870.5585572869416
松河戸交番北,松河戸住宅,372.47816483703684
松河戸交番北,下中公園,822.5069695212997
松河戸住宅,下中公園,746.2470597128357
松河戸住宅,柏井町四丁目サティ前,1396.8298997362508
松河戸住宅,勝川駅南,840.3520900084044
松河戸住宅,柏井町一丁目,965.2199920923781
松河戸住宅,八幡社前,1171.683615420888
八田町二丁目,上八田,392.6044466104839
八田町二丁目,六軒屋公民館,821.2722109675663
上八田,高山口,1746.7759129418278
上八田,六軒屋公民館,694.1094861022657
上八田,八田,651.1254459956522
高山口,西高山町,743.6320575057921
高山口,高山,340.63276008013014
高山口,八田,1678.595712498161
西高山町,前並町1丁目,436.78891639764765
西高山町,高山,674.9857634930178
西高山町,西部中学校,294.7728087430104
柏原町2丁目,柏井町四丁目サティ前,999.9465242606884
春日井市役所前,八事町,711.112055348559
春日井市役所前,弥生町2丁目,735.4891562979162
八事町,弥生町2丁目,350.4300984663816
八事町,春日井駅,574.8551690569185
八事町,乙輪町,630.4798814679846
八事町,春日井駅前,543.1218313641613
六軒屋4丁目,浅山町,623.0134787349249
六軒屋4丁目,六軒屋公民館,167.6933906014408
浅山町,東野口,540.9249381612716
岩野町1丁目,大手小学校南,449.9077839227497
自衛隊前,玉野台北,582.9245083306288
自衛隊前,玉野台南,432.76251784603994
自衛隊前,玉野,298.68037007020297
押沢台5丁目,中央台,1503.547004646531
玉野台北,玉野台南,466.75666375039305
玉野台南,玉野,443.37053945028674
かみや団地,坂下公民館,1006.9509328751079
かみや団地,下神屋,1005.5229786496046
かみや団地,かみや団地口,477.06044140450155
愛知県コロニー,高森台四丁目,1210.3697432152344
愛知県コロニー,坂下出張所前,714.6450972563272
愛知県コロニー,愛知学園前,449.26319539371053
高森台四丁目,烏洞橋,892.312205598539
高森台四丁目,高森台西,867.048970653685
高森台四丁目,愛知学園前,1377.7440711988927
神屋,かみや団地口,772.5098005201186
神屋,神屋住宅前,594.6705622447995
神屋,坂下出張所前,621.0524861088973
神屋,愛知学園前,459.89649790290224
中部大学東,中部大学前,272.9036866663005
中部大学東,神明,757.9731268443473
烏洞橋,藤山台東,944.241236211808
烏洞橋,岩成台北,1015.0249805426561
烏洞橋,藤山台,780.064878461847
烏洞橋,高森台西,613.2015258174786
藤山台東,岩成台北,576.2316043905612
藤山台東,中央台,283.5192585647413
岩成台北,藤山台,549.317720222558
岩成台北,藤山台南,805.7680961555234
藤山台,藤山台南,578.4473664306789
藤山台,高森台西,843.217820067701
藤山台南,庄名,943.1702002259332
藤山台南,白山,975.8216176769118
庄名,神明,863.6344314918765
坂下二丁目,上野北,318.35393458557166
坂下二丁目,中部大学北,496.87608090794924
春日井駅,春日井駅前,79.06578007465002
乙輪町,春日井駅前,521.7350156892218
南島,東野新町,620.0333964926543
東野新町,東野口,448.52159736613953
前並町1丁目,西部中学校,282.8038127364253
下中公園,柏井町四丁目サティ前,1598.829260719089
下中公園,春日井高等養護学校,297.589992394319
若草通一丁目,柏井町一丁目,485.40935696335447
若草通一丁目,八幡社前,489.4272598376114
柏井町一丁目,勝川駅南,275.3610728613404
柏井町一丁目,勝川駅前,291.3885968794451
柏井町一丁目,八幡社前,468.65447373557816
辻山西公園,高山,304.72063108717987
辻山西公園,辻山橋東,487.0158657296965
高山,八田,1559.802915688682
高山,大手小学校南,1017.9636994852592
高山,辻山橋東,679.1052180725247
坂下五丁目,下神屋,439.84795810917433
坂下五丁目,神屋住宅前,639.3436915258072
坂下五丁目,坂下公民館,656.8570227249837
坂下五丁目,愛知学園前,1191.085733484888
下神屋,神屋住宅前,473.3539256867006
下神屋,坂下公民館,309.3728641683556
下神屋,かみや団地口,904.5874186166255
神屋住宅前,かみや団地口,621.3124406240696
神屋住宅前,愛知学園前,901.2149825498624
坂下出張所前,愛知学園前,581.3169597675555
中部大学前,神明,900.4739296475583
神明,上野,712.8149460876778
神明,中部大学北,995.7566134944627
上野,上野北,243.2016369935138
上野,中部大学北,398.05388847640916
上野北,中部大学北,352.64056697322115
柏井町四丁目サティ前,八幡社前,417.13046654901865
勝川駅南,勝川駅前,98.94589681814635
八田,大手小学校南,895.1165509015852
大手小学校南,辻山橋東,396.87578789350835
